ISIN,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12,2020-12
AT00000VIE62,0.0,0.0,6.682329030096871e-18,4.530307969229322e-18,0.0,0.0,0.0,0.0,4.0625987066964656e-18,0.0,0.0,2.6524618619451758e-18,0.0
AT0000652011,5.434062709051309e-18,1.2735023784984398e-19,0.0,6.788741162561471e-18,0.0,3.057932968061055e-18,0.0,2.852854057743931e-18,0.0,0.0,3.0629537172513686e-18,9.221276085823725e-19,0.0
AT0000743059,0.0,0.0,0.0,4.232690117581571e-18,0.0,1.0277976840555678e-17,4.606725638412489e-18,1.1494462511859618e-18,3.1622086295769643e-18,2.018460560460044e-18,2.711526942173463e-18,0.0,0.0
AT0000746409,2.157311711828034e-18,0.0,0.0,4.347409219856258e-18,0.0,2.6138660391065676e-18,0.0,0.0,2.4737863645484926e-19,0.0,0.0,0.0,0.0
AT0000831706,0.0,4.217155014856451e-18,0.0,5.897865571916732e-19,0.0,0.0,0.0,1.4038184114356035e-18,0.0,0.0,2.0084660431274203e-18,0.0,0.0
AT0000908504,6.416168666248309e-19,0.0,0.0,0.0,0.0,2.8288982107941585e-18,4.1873503981291143e-19,9.075228614559787e-18,0.0,4.510065053320633e-18,0.0,2.496668798662858e-18,0.0
AT0000937503,0.0,0.0,0.0,0.0,0.0,4.025472085932033e-18,0.0,6.182144974139641e-18,0.0,0.0,0.0,1.2479220729768176e-19,6.486172014319948e-19
AT0000938204,1.0364028425398352e-18,6.661938006374655e-18,0.0,8.851732626810836e-19,0.0,0.0,3.908530131512773e-18,2.7965731514580092e-18,0.0,0.0,7.258088210592162e-18,0.0006827011305970733,4.655218297561931e-18
AT0000A21KS2,1.48610922013284e-18,2.067893966594901e-18,2.3170546710063365e-17,9.072460294650239e-18,0.0,1.1987861467193411e-18,2.8181147592563434e-18,0.0,0.0,5.001416049241493e-18,4.90641000474642e-18,0.0,0.0
BE0003470755,4.861608527020537e-18,0.0,3.7281903330081e-19,0.0,3.785542892703603e-18,9.84915801022639e-19,3.907691423345995e-18,0.0,8.568961785540811e-19,0.0,0.0,0.0,4.521843824464896e-18
BE0003565737,5.085969296121169e-18,3.063799842484271e-19,0.0,4.769608701737477e-18,0.0,0.0,0.0,1.1274920925692636e-17,1.2300127932595454e-18,3.1060589963251276e-19,4.144670021302865e-18,3.980757331300326e-18,0.0
BE0003593044,0.025680849400854702,0.0,4.673343901092445e-19,2.733135805287018e-18,0.0,4.435133821268559e-18,0.0,2.3077929625842137e-18,1.001111576294436e-18,0.0,6.842491150592056e-19,0.0,2.66017332769381e-18
BE0003717312,0.0,1.773958706375599e-19,0.0,1.9123972870821576e-18,3.3098262916309523e-18,9.330416782773189e-19,0.0,0.0,3.289151998775566e-19,0.0,2.9650698621230876e-18,5.535415145723141e-19,1.2437975921548172e-18
BE0003735496,0.002798719057842297,0.0662685727458813,8.329051192267613e-18,0.005601697450671876,0.0,0.016798745403325197,0.033129409665026074,0.0,1.4618143243802085e-18,0.0,0.024099133696053723,0.03365471858594319,0.011249871492178995
BE0003739530,0.0,1.531592608145582e-18,4.168149867055217e-18,3.282364499768387e-18,0.0,6.285034473681829e-18,0.0,0.0,2.21065820673437e-18,0.0,0.0,0.030826246998444343,0.0019627555635389022
BE0003755692,2.1875953723474825e-18,0.0,0.0,3.803462771939209e-18,0.0,0.0,3.7731245979954e-18,1.5011947458866189e-19,0.0,0.0,0.0,0.0,0.019771836038722613
BE0003797140,0.0,0.0,0.0,0.0,3.539704391648312e-18,1.3837831314267187e-18,0.0,0.0,5.616949585932997e-19,1.754357180083072e-18,0.0,0.0,0.0
BE0974256852,7.806255641895632e-18,0.10619085667629573,0.11555227961718222,0.09254788608143362,0.09423846493459344,0.11853248581428702,0.14567054982387198,0.14737380265036887,0.13199955813458944,0.0396044614512934,0.05732755247131662,0.11655299865873779,0.12271132884585104
BE0974258874,0.0,2.214733076510262e-18,0.0,6.310587112335592e-18,2.6794083863711828e-18,0.0,1.1995103730732625e-18,0.0,3.8202796853074214e-18,0.0,0.0,3.58998165555414e-19,0.0
BE0974264930,6.637294535921439e-18,0.0,1.77216749766463e-17,0.0,0.0,0.0,0.0,8.326884680191849e-18,1.0685659652506154e-18,7.684411151689371e-18,0.0,0.0,0.0
BE0974320526,6.645049966820048e-18,1.3978508339756971e-18,7.241195705230777e-18,0.0,7.078503766964057e-18,1.034439012793041e-17,2.1733275809519083e-17,0.0,0.0,3.383043907207339e-18,2.0054260610749188e-18,0.0,1.6942699088517403e-19
CH0000816824,2.801251656782842e-18,1.4932202075258041e-18,1.2485221372170585e-17,4.435073522558953e-18,0.0,0.0,1.0057459947992254e-17,1.1622309884603142e-17,5.059284153539257e-18,0.0,7.502897642391533e-18,3.2566629670636164e-18,0.0
CH0008742519,0.1229823228155179,0.11938105097608347,0.0987587550468891,0.05115604137471952,0.0645961452412665,0.07797929237258919,0.06630911729577972,0.05323097736632911,0.014994385810602653,0.03404643452259434,0.031653966546057344,0.031536505241200226,0.05981273654212488
CH0010570759,8.462853358779602e-19,0.0,0.0,8.35132362721137e-18,1.953189409019772e-18,6.679948240151994e-18,0.0,6.765138758566807e-18,8.947839883469629e-18,0.0,3.3700124532507367e-18,4.487643649700848e-19,0.03595342401834395
CH0011075394,0.0,7.841036603310659e-18,0.0,0.0,9.259265421419364e-19,0.0,8.221437226431501e-18,1.7680941810320766e-19,0.0,0.0,2.963499372587384e-18,0.0,0.0
CH0012005267,0.1124557050535416,0.07002254015605468,0.036041928750430226,0.0,5.204170427930421e-18,0.002247656373573645,0.0,9.251758361100673e-18,9.585623486041799e-18,0.017228132493593014,0.013627729486521611,0.014560506648077932,0.001812940326125197
CH0012032048,3.548868031220894e-18,6.751583144654852e-18,0.016998645594970874,0.04388826185521072,0.03605056002191737,0.031027844987230782,0.017898760351831567,0.020524210682215056,0.008230119305023192,0.009348353482415906,0.0,0.0,0.05288540404010524
CH0012138530,3.2095097228453296e-18,3.652825448813024e-18,7.415759194773778e-19,0.0,1.2206277227438266e-17,1.520697437638526e-17,0.0,4.616834827418233e-18,2.151526567891567e-18,4.752844005286608e-19,3.1642318502940344e-19,0.0,4.526568434026812e-18
CH0012138605,6.559612302292217e-18,0.0,0.0,0.0,3.7917532103805043e-19,1.0974246426377247e-17,4.789946149791373e-19,7.896586856188121e-18,2.5160848932377557e-18,2.7226370776136896e-18,0.0,0.0,3.599588692885635e-18
CH0012142631,0.0,2.279096993095568e-19,4.57064244789849e-18,0.0,0.0,4.459020372851648e-18,0.0,0.0,1.356219473408281e-18,0.0,4.13177113491787e-18,0.0,0.0
CH0012214059,5.597363086111506e-19,0.0,4.711259565151376e-19,0.0,1.8212572800186783e-18,4.932971298645357e-18,3.667508840836087e-18,0.0,0.0,6.6165222662985925e-18,2.2843870440612448e-18,0.0,0.0
CH0012221716,0.0,3.1722667301943644e-18,3.530403244684148e-18,0.0,3.2056644204694184e-18,0.0,7.057203219795037e-19,3.9208875696837365e-18,0.0,0.0,4.441747980841299e-19,0.0,1.9509508255877202e-18
CH0012255151,6.194597585241621e-19,0.0,1.2683234194294518e-18,1.4353418622861694e-17,7.752641517155754e-18,2.2184349933419996e-18,0.0,3.731367922019557e-18,0.0,4.418082553856951e-18,1.311453257213982e-18,1.1305271344908074e-21,0.0
CH0012268360,9.652777559821002e-19,2.3209349174131723e-18,0.0,0.0,5.3356617020850414e-18,1.3904365770159144e-17,0.0,1.0345379754687814e-18,0.0,0.0,0.0,0.0,0.0
CH0012410517,6.060926068909068e-18,0.0,0.0,4.7544391416315686e-18,0.0,0.0,0.0,9.624070931340992e-18,0.0,1.5038569811548344e-18,0.0,0.0,1.8590729136468523e-18
CH0012549785,0.0,0.0,8.68582695188622e-19,0.0,0.0,0.0,0.0,6.105826325937527e-18,4.798156155674652e-19,0.0,0.0,0.0,0.0
CH0013841017,0.0,0.0,0.0,1.534177025396804e-18,2.9370920378005148e-18,1.1848950875984983e-18,0.0,0.0,1.2383484867674396e-18,5.784304056756138e-18,0.0,0.0,1.2502417177761313e-18
CH0014786500,0.2433212154419048,0.20722266266149092,0.15508471429872844,0.1598211907224912,0.13964648907299146,0.13379304038591916,0.1068437673089624,0.15604329817073653,0.13921072686411484,0.12210069795788128,0.08178750754719735,0.08517322188795941,0.02517416436379116
CH0014852781,0.0,9.13987642588691e-19,6.963748663405823e-18,0.0,1.2869672270108963e-17,1.210468330959761e-18,1.3794103114098491e-18,0.0,2.3756139504953012e-18,8.173055429664146e-19,2.4719257554431665e-18,1.7022670814167668e-18,0.0
CH0024638212,5.794037248551564e-18,0.0,1.3632918972586379e-17,0.0,0.0,1.0562658373925838e-18,0.0,1.184860251894721e-17,0.004284297854945919,0.022200949706919056,0.008143749809725502,0.0,0.0
CH0025238863,2.548355919192814e-18,6.494773002810085e-18,0.0,0.0,1.5681041153162065e-18,0.0,0.0,0.0,8.432924264299993e-18,0.0,3.081679675831069e-18,6.876748240134277e-19,2.0097141705853116e-18
CH0025751329,2.371311580545991e-18,1.1246305557241252e-17,0.0,7.911677417722657e-18,2.455784789068972e-18,0.0,0.0,0.0,0.0,0.0,4.981980234192339e-18,5.542235940595552e-20,0.0
CH0030170408,0.0,0.0,3.929881288406605e-18,3.37182245387218e-18,0.0,5.170961609690714e-18,0.0,9.401369850716353e-19,1.147704073056987e-18,1.2184741794469076e-19,3.1624478161911723e-19,1.5571958785483491e-18,0.0
CH0038388911,2.1115054192292e-19,0.0,0.0,2.5985920661074423e-20,6.96517171211434e-18,5.0616135035553665e-18,0.0,5.537564497226472e-18,0.0,7.002183314758367e-18,2.368826292232875e-19,1.272146597672306e-18,0.0
CH0038863350,0.04366399052550587,0.04119037342786835,0.056665650080495435,3.61842986664866e-18,0.00962905919668489,0.0,3.4605637133011802e-18,6.6337307612436156e-18,1.224285259760973e-17,1.0659244508957775e-17,8.208066570018686e-19,3.0799198929845574e-19,0.01128576026684513
CH0044328745,0.03573243029580267,0.001809641419289278,0.02394672998078564,0.02443028944745366,0.05267634071928503,0.05261502021707578,0.0632539102399541,0.058504666682309754,0.02214010387696055,0.0598666331041775,0.031191999753390758,0.0577107893161497,0.04562343791453726
CH0048265513,0.0,0.0,0.0,6.712697453062308e-19,3.918967231215436e-18,0.0,0.0,0.0,6.351392314385496e-18,3.6701916326623577e-19,0.0,0.0,0.0
CH0126881561,0.0,0.0,3.177277866684687e-18,0.0,0.0,0.0,4.201179997537727e-18,0.0,4.323886638482207e-18,6.488297726075091e-19,0.0,0.012926111477720159,0.0
CH0210483332,0.0,4.243526953243014e-18,0.0,9.323389787281418e-20,2.219292472549587e-18,7.98278354021873e-19,7.784147265526854e-18,6.273061266767585e-19,0.0,0.0,5.884663215934816e-18,5.367170358444596e-19,6.6578461966222926e-18
CH0244767585,3.9566571686134977e-19,8.055325679750008e-19,0.0,0.0,0.0,1.2548301947121572e-19,0.0,3.2895723873526974e-18,2.9923419092552495e-18,8.598451739198512e-19,0.0,2.332709673309601e-18,0.0
CH0418792922,6.0069055674995016e-18,0.0,0.0,0.0,7.336163006660985e-18,0.0,0.0,1.038396990490399e-17,6.2700368301071755e-18,3.8263310020220347e-19,3.0418195223851457e-18,5.628283250650153e-18,0.0
CH1169151003,5.935155880319312e-19,1.2049342205621803e-19,6.503047307792849e-19,1.7788793874381633e-18,0.0,1.7864554287288252e-18,0.0,9.84322806844284e-18,0.0,0.0,0.0,3.1424053478063174e-18,0.0
CH1175448666,1.4237967542964679e-18,0.0,1.533811299458874e-18,0.0,2.9005694649389727e-18,2.084253233865435e-18,3.0447841960060384e-18,3.007278906539378e-18,3.321500789470534e-18,0.0005238973500382572,0.0059964814232904605,0.022531405438811228,0.0
CH1256740924,0.0,2.96569548469127e-18,2.9233436183439778e-18,0.0,0.0,0.0,0.0,5.684434852900125e-18,0.0,4.673534050342494e-19,8.792666457395599e-19,6.901472289622063e-19,0.0
DE0005089031,4.651616570783176e-18,0.0,0.0,1.2143808836450964e-18,3.65572468726603e-18,0.0,0.0,0.0,4.85787241675975e-18,3.531566809313149e-18,3.289039709281865e-19,0.0,1.475899254720568e-18
DE0005140008,0.0,0.0,2.6330774040864166e-18,3.087003420692012e-18,0.0,2.526166282017448e-18,0.0,0.0,0.0,3.985952220409743e-18,0.0,0.0,0.0
DE0005190003,1.0461275277233904e-18,0.0,4.3083975661005794e-18,0.0,0.0,5.687866596730938e-18,0.0,2.172479638786057e-19,0.0,4.405904914811614e-18,0.0,0.0,2.9858447816528497e-19
DE0005200000,0.0013947861083636235,5.557390303601109e-18,6.809585922051936e-18,0.0,0.0,1.1545942369321024e-18,2.729787051956407e-18,1.72815459136297e-18,9.294865785554162e-18,0.0,0.0,0.0,9.632012259803573e-19
DE0005439004,6.007654939087815e-18,0.0,2.1663116116405887e-18,5.490748991103173e-18,0.0,0.0,4.611906681613294e-18,4.5389974422511716e-18,1.1645935263725254e-17,2.3296493375779477e-19,0.0,2.634345354609374e-18,0.0
DE0005557508,5.184417393023777e-18,0.0,6.8606771737293685e-18,4.833226528333912e-18,1.9401930601517708e-17,1.1705183160014486e-18,0.0,1.149948965536928e-17,7.796524894215463e-18,0.0,1.2559206906008593e-18,0.0,1.804977363520044e-18
DE0005785604,0.0,3.464725249002289e-18,0.0,3.1250802505498276e-18,3.3566838436056482e-18,2.2376635769855083e-18,1.95157200408236e-18,3.663659720350697e-18,0.0,0.0,0.0,0.0,0.0
DE0005785802,1.0983324210923403e-19,7.618556963925809e-19,0.019638958309906803,9.94574611451586e-18,2.509336543646965e-17,0.027838515506530232,0.08838567516637781,0.08175808300917647,0.0974054726815349,0.07913165415912528,0.006432278695643602,0.0,0.0
DE0005909006,1.6670461485781951e-18,4.4653250055833327e-20,0.0,0.0,0.0,1.385959796791698e-18,1.6923485483221817e-19,1.4567225284124478e-18,5.430589604744982e-18,6.361724835584663e-18,2.5792120599420427e-18,8.92243585108073e-22,0.0
DE0006047004,0.0,0.0,0.0,1.309430522345233e-18,4.343047694008983e-18,3.58320016908e-18,5.534776284381947e-18,4.490446761364052e-18,8.67687408013173e-18,0.0,6.108765711683886e-18,2.56474221481981e-19,0.0
DE0006048432,3.3835289384635325e-19,0.0,0.0,0.0,8.741740460234415e-18,1.3451586228090832e-18,6.419881017765888e-18,0.0,4.308149532088414e-18,0.0,2.123784681803268e-18,0.0,1.7324294158369745e-18
DE0006070006,0.0,0.0,2.651224476237856e-18,0.0,1.559351661309674e-17,8.341674710911963e-18,0.0,0.0,0.0,2.818351176882266e-18,1.5227647412954823e-18,0.0,7.853211333482538e-18
DE0006202005,0.0,4.636645160030387e-19,0.0,4.506628706574376e-18,0.0,6.251794041661961e-18,0.0,1.630388784253811e-17,1.959913803420267e-18,5.075669633436914e-19,0.0,0.0,2.9545998165982347e-18
DE0006569908,0.0,5.0893481451062435e-18,9.836590764226838e-18,4.594731745378945e-19,3.6189037714857386e-18,2.0822327903602438e-18,3.604328021853385e-19,3.4369346220266762e-18,0.0,3.8622245995541235e-18,0.0,0.0,0.0
DE0006599905,0.0,2.1675058479496147e-18,4.460850852682141e-19,0.0,0.0,1.918432512661658e-18,0.0,3.1536263174941184e-18,0.0,1.1323849252619004e-18,3.240967080075579e-18,0.0,0.0
DE0006602006,3.5370806640191664e-18,0.0,0.0,0.0,1.066557566597874e-18,0.0,0.0,1.1664887726007874e-17,1.6780901579105166e-18,1.761774874848498e-18,0.0,3.2659238394957983e-18,0.0
DE0006969603,0.0,0.0,1.754666255706504e-18,2.8044721833892115e-18,1.1864660308463313e-18,6.143532530516046e-18,0.0,0.0,0.0,3.289735413756203e-18,1.8702935270384426e-18,0.0,1.9879848626872117e-18
DE0007030009,4.152795324870383e-18,1.2574917268955041e-17,0.0,9.757167795699873e-19,5.6696481513495274e-18,0.0,8.285805015851188e-18,0.0,0.0,0.0,9.592177317404146e-19,2.05889291299326e-18,0.0
DE0007037129,0.0,0.0,0.0,0.0,0.0,2.551587240468026e-18,0.0,3.715351599490511e-18,0.0,1.8380537827685518e-18,0.0,3.316422777574782e-18,1.818301220254288e-18
DE0007042301,3.312567412575188e-18,2.9352801820444133e-18,3.5786383171895095e-18,0.0,0.0,5.345955146333476e-19,0.0,1.3218604198929957e-17,9.563449655163547e-18,0.029192802804730748,0.02959699204692841,0.02911117860405079,0.04188311666634735
DE0007100000,2.954484119876135e-19,4.492662280779948e-19,0.0,8.42380222228891e-18,0.0,6.6795762425613844e-18,0.0,1.3338811624176544e-17,9.12925197577963e-18,0.0,0.0,0.0,0.0
DE0007164600,0.0,0.0,4.0623237509043877e-19,1.8495145585784087e-18,0.0,0.0,0.0,0.0,2.9946737543246364e-18,3.4157493227753302e-18,0.0,5.6183261252178725e-19,4.608708149745874e-19
DE0007236101,6.583497703964336e-18,0.0,0.0,5.822685011539177e-18,2.235557199751983e-18,0.0,2.074783775597913e-18,0.0,3.685511266434524e-18,0.0,2.257119247880024e-18,1.9809946076096136e-19,9.30895689455614e-19
DE0007257503,3.670960740297492e-18,2.4353367343210196e-18,0.0,2.8835036738267207e-18,0.0,3.954249978246554e-18,4.3818474053318835e-18,0.0,0.0,6.404112462594759e-18,0.0,2.5045821143918205e-18,1.7179516876463173e-18
DE0007297004,1.5228457621940329e-18,0.0,0.0,2.7552469755068934e-18,1.7509636624309823e-18,0.0,1.0152915146511945e-18,4.986091286367506e-19,0.0,1.8348039723392564e-18,0.0,0.0,0.0
DE0007314007,9.31841826886676e-19,6.2501257223231685e-18,2.990512455720067e-18,0.0,0.0,0.0,5.046230238128653e-18,4.627587650988546e-18,0.0,0.0,5.275970054347587e-19,1.0180490316784575e-18,1.039096900593046e-18
DE0007500001,4.633670894487093e-19,3.425097036266573e-18,0.0,0.0,1.9597736956925957e-18,1.0197261884236379e-17,0.0,3.1685846296457492e-18,4.847423270218465e-18,4.748814144671562e-18,0.0,0.0,0.0
DE0007664039,3.063205085657788e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45236821102509e-18,4.345481213249363e-18,2.9351954292889477e-18,3.431621620047189e-18,2.0478623381796516e-18
DE0008232125,3.916977355543382e-18,0.0,0.0,0.0,7.181704547367823e-18,0.0,0.0,3.857259861343106e-18,2.6487666373312884e-18,0.0,0.0,0.0,1.3609320562033562e-18
DE0008402215,5.81503962025251e-18,0.0,3.309743619630867e-19,0.0,5.436940454619522e-18,1.8171418702590722e-18,5.8947489341389674e-18,0.0,0.0,0.0,3.1893999987718966e-18,0.0,0.0
DE0008404005,0.0,7.182836715791206e-20,0.0,1.412805360368272e-18,3.5407945008066785e-19,3.946107039151186e-18,0.0,4.641613448861019e-18,0.0,1.576154602617939e-18,0.0,2.682138479021156e-18,1.130335189777861e-18
DE0008430026,1.3567112367305508e-18,0.0,1.4770240098057673e-20,0.0,0.0,0.0,3.352551099003331e-19,6.622630036852853e-18,1.9042699108373006e-18,1.052184869839764e-18,0.0,0.0,0.0
DE000A1EWWW0,2.553513283139306e-18,0.0,0.0,4.935838206909494e-18,0.0,2.694326707541091e-18,0.0,8.920550423944409e-18,1.884007589678972e-18,5.637186806365226e-18,0.0,0.0,0.0
DE000BASF111,1.3002074441679192e-18,6.349710508801264e-18,0.0,0.0,0.0,3.399329554226614e-18,4.6976587488059224e-18,0.0,8.998678403613718e-18,2.833694470442792e-19,0.0,1.800857725536765e-19,1.9293232085216235e-18
DE000BAY0017,4.719766099710776e-18,0.0,2.286179167868587e-18,0.0,8.33593131169861e-19,2.1425089390052546e-18,3.3045107387591506e-18,0.0,3.59528099382991e-18,0.0,0.0,0.0,0.0
DE000CBK1001,0.0,0.0,0.0,1.0363749250400228e-18,6.334440068657127e-19,8.907925398719101e-19,3.0861426349178246e-18,6.686173572210578e-18,4.203752362488623e-18,0.0,0.0,1.7866634105602694e-18,0.0
DE000CLS1001,5.482589413276134e-18,2.3525386177469954e-19,2.3021759150867184e-18,0.0,5.809414117976557e-18,0.0,2.0891188592727996e-19,0.0,4.1983355795142756e-18,1.574038891743541e-18,1.0932785045466606e-18,4.1513360209279665e-18,0.06593417551462633
DE000ENAG999,2.54500076122328e-18,0.0,0.0,0.0,2.0793829674012923e-18,0.0,0.0,0.0,3.413275825497282e-18,1.1367852496912406e-18,0.0,3.5566773544871565e-18,0.0
DE000KSAG888,4.026143936275085e-18,0.0,3.651114367717103e-18,0.0,0.0,1.132488666196122e-18,0.0,6.716328095149013e-18,5.172933086827246e-18,6.878289409780688e-19,0.0,2.873164402032747e-18,0.0
DE000PSM7770,8.96594793014413e-18,0.0,0.0,0.0,0.0,1.3763241846687753e-18,7.455401574049035e-18,7.826556010432197e-18,0.0,0.0,1.4836907749423396e-18,2.991015968587215e-20,2.7266129243530598e-18
DE000TUAG505,0.0,0.0,0.0,1.935968674868978e-18,0.0,0.0,6.461112033442777e-18,0.0,0.0,9.852728005354162e-18,0.0,3.976992216190276e-18,2.743440375705366e-18
DK0010181759,0.0,2.979435619470275e-18,0.0,3.153881238811805e-18,1.3512625289515216e-18,9.240259614957153e-19,0.0,0.0,5.122007991686681e-18,0.0,1.0743701002892268e-20,8.321063128058969e-19,0.0
DK0010219153,0.0,0.0,9.17647437574431e-19,0.0,1.4307643487847762e-18,4.840315814664173e-18,0.0,0.0,7.267813757299982e-20,3.503003735552555e-18,0.0,0.0,0.0
DK0010234467,0.0,0.0,5.893907097670716e-18,1.1218542526487836e-18,1.4951325364564847e-18,3.369828678684472e-18,5.449237817230504e-18,0.0,4.294553308623246e-18,2.070385550541748e-18,0.0,0.0,0.0
DK0010244508,3.2341291069702064e-18,1.6897448671069058e-18,0.0,1.099845241223079e-17,7.929431147246975e-19,3.001963461402965e-18,0.0,7.592089308435365e-19,3.668859650517641e-18,1.3428414589757386e-17,0.0,3.821010607137912e-18,1.4995816099211594e-18
DK0010272632,0.0,0.0,0.0,0.0,0.0,0.0,2.3138792335580963e-18,6.949178999336195e-19,3.0541379797618156e-18,0.0,2.1685404976393637e-19,9.026497537851695e-19,0.0
DK0010274414,0.0,3.085060269516833e-18,9.931410003248577e-19,1.0204308739499067e-18,1.3628336119342815e-18,0.0,0.0,0.0,0.0,2.0744588359759087e-18,0.0,1.4755401829207247e-18,3.7758308356470325e-18
DK0010287663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42738441340677e-18,0.0,0.0,5.25427058061172e-19,1.2141507048830446e-18,0.0
DK0010307958,0.0,7.672811633132772e-19,0.0,3.67961800236252e-18,3.885321396817117e-18,2.7540370707278126e-19,0.0,6.899092218387123e-18,0.0,0.0,0.0,3.186287930909282e-19,0.0
DK0010311471,0.0,0.0,7.336124100148597e-20,0.0,1.834506718798961e-19,0.0,0.0,0.0,0.0,0.0,0.0,2.3609262941967166e-18,1.397641922978585e-18
DK0060079531,0.0,4.504350731999375e-18,0.0,0.0,0.0,1.1251429529648207e-18,8.683800248588804e-19,1.5041847066770986e-18,0.0,0.0,1.3061492787063615e-18,3.795639492659124e-18,1.4183206612292382e-18
